"Address space creep";FastMM5;5250;5250;530652
"Address space creep (larger blocks)";FastMM5;2548;2547;853556
"Array Upsize 1 thread";FastMM5;640;640;415156
"Block downsize";FastMM5;12000;12000;201780
"Block size spread";FastMM5;4594;4594;462900
"Double Variables Access  3 arrays at a time";FastMM5;1750;1750;148276
"Double Variables Access  6 arrays at a time";FastMM5;1719;1719;148276
"Double Variables Access 18 arrays at a time";FastMM5;1765;1765;148276
"Fill Char using 2 threads";FastMM5;5703;2875;154868
"Fragmentation Test";FastMM5;2438;2437;183348
"Large block spread";FastMM5;2859;2860;383540
"Linked-list container";FastMM5;2969;2969;782900
"Many Short Lived Threads";FastMM5;875;125;150068
"Mem Free 1";FastMM5;733;750;151348
"Move 2 arrays at a time";FastMM5;2626;2625;166708
"Move 4 arrays at a time";FastMM5;2828;2828;162868
"Multi-threaded  2 allocate, use and free";FastMM5;6703;3391;148788
"Multi-threaded  2 reallocate and use";FastMM5;6250;3188;136500
"Multi-threaded  4 allocate, use and free";FastMM5;7907;2063;139060
"Multi-threaded  4 reallocate and use";FastMM5;7406;1953;145204
"Multi-threaded  8 allocate, use and free";FastMM5;12719;1641;153396
"Multi-threaded  8 reallocate and use";FastMM5;12828;1703;171828
"Multi-threaded 12 allocate, use and free";FastMM5;12469;1735;189236
"Multi-threaded 12 reallocate and use";FastMM5;13015;1688;216884
"Multi-threaded 16 allocate, use and free";FastMM5;12797;1657;206644
"Multi-threaded 16 reallocate and use";FastMM5;12156;1828;215860
"Multi-threaded 31 allocate, use and free";FastMM5;12172;1641;268852
"Multi-threaded 31 reallocate and use";FastMM5;12703;1641;296500
"Multi-threaded 64 allocate, use and free";FastMM5;11563;1500;348468
"Multi-threaded 64 reallocate and use";FastMM5;11891;1547;328756
"NexusDB with  1 thread(s)";FastMM5;4078;4078;258100
"NexusDB with  2 thread(s)";FastMM5;4562;2282;247092
"NexusDB with  4 thread(s)";FastMM5;4922;1250;252724
"NexusDB with  8 thread(s)";FastMM5;7234;906;313140
"NexusDB with 12 thread(s)";FastMM5;8813;1391;364340
"NexusDB with 16 thread(s)";FastMM5;6125;812;449332
"NexusDB with 31 thread(s)";FastMM5;5406;703;674356
"NexusDB with 64 thread(s)";FastMM5;7750;984;1155892
"Quick Sort Extended Array";FastMM5;93125;12218;1047348
"Quick Sort Integer Array";FastMM5;4172;4172;1035316
"Raw Performance  1 thread";FastMM5;1188;1188;1034036
"Raw Performance  2 threads";FastMM5;1750;875;941364
"Raw Performance  4 threads";FastMM5;3203;813;900916
"Raw Performance  8 threads";FastMM5;4734;594;866100
"Raw Performance 12 threads";FastMM5;5250;703;834356
"Raw Performance 16 threads";FastMM5;4781;641;774964
"Raw Performance 31 threads";FastMM5;4859;625;741940
"Raw Performance 64 threads";FastMM5;11062;1390;842804
"ReallocMem Large (1-952224b)";FastMM5;5390;5391;1526068
"ReallocMem Medium (1-4039b)";FastMM5;12485;12485;284468
"ReallocMem Small (1-555b)";FastMM5;14515;14516;281396
"Single Variables Access  3 arrays at a time";FastMM5;1500;1500;284404
"Single Variables Access  6 arrays at a time";FastMM5;1344;1344;282676
"Single-threaded allocate, use and free";FastMM5;18359;18360;695476
"Single-threaded reallocate and use";FastMM5;6578;6578;1017396
"Single-threaded tiny reallocate and use";FastMM5;4578;4578;287540
"Small upsize";FastMM5;7984;7984;273908
"Sort Extended Array";FastMM5;85782;13296;276276
"Sort Integer Array";FastMM5;10187;10203;267316
"String  2 Thread Test";FastMM5;7688;3844;164660
"String  4 Thread Test";FastMM5;14062;3516;170804
"String  8 Thread Test";FastMM5;29750;3750;238388
"String 12 Thread Test";FastMM5;29547;3750;244532
"String 16 Thread Test";FastMM5;29626;3782;269108
"String 31 Thread Test";FastMM5;30328;3813;370484
"String 64 Thread Test";FastMM5;29812;3813;594740
"Tiny downsize";FastMM5;2015;2016;447732
"Transient threaded objects (96 threads)";FastMM5;3595;453;567092
"VerySmall downsize";FastMM5;343;344;378228
